_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,COP_DELIV_QTY,COP_DELIV_PERC,VWAP,mTIMESTAMP,CA
66911af9b104d5da3a312d17,ADANIENT,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,3098.8,3058.35,3090.0,3065.45,3066.0,3078.3,756036,2324851552.85,3743.9,2142.0,51794,INE423A01024,2024-07-12T12:00:57.300Z,2024-07-12T12:00:57.300Z,0,341829,45.21,3075.05,12-Jul-2024,
66911ae03a4b669eacb4b87d,ADANIPORTS,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1497.0,1481.15,1490.0,1486.7,1485.0,1483.85,2018935,3006552791.6,1621.4,708.0,86580,INE742F01042,2024-07-12T12:00:32.727Z,2024-07-12T12:00:32.727Z,0,910589,45.1,1489.18,12-Jul-2024,
66911af9b104d5da3a312a3b,APOLLOHOSP,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,6419.95,6320.0,6385.2,6353.9,6349.95,6389.05,211028,1342711985.5,6874.45,4726.0,25458,INE437A01024,2024-07-12T12:00:57.043Z,2024-07-12T12:00:57.043Z,0,139224,65.97,6362.72,12-Jul-2024,
66911ade3a4b669eacb4a865,ASIANPAINT,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,3052.0,2970.9,3025.0,2999.15,2991.4,3022.05,1879930,5656716521.1,3568.0,2670.1,119771,INE021A01026,2024-07-12T12:00:30.982Z,2024-07-12T12:00:30.982Z,0,932144,49.58,3009.0,12-Jul-2024,
66911ade3a4b669eacb4a212,AXISBANK,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1339.65,1293.9,1293.9,1317.3,1317.0,1296.75,11278987,14894575098.8,1339.65,927.15,297723,INE238A01034,2024-07-12T12:00:30.353Z,2024-07-12T12:00:30.353Z,0,6429384,57.0,1320.56,12-Jul-2024,"[{'symbol': 'AXISBANK', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': 'Dividend - Re 1 Per Share', 'exDate': '12-Jul-2024', 'recDate': '12-Jul-2024', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Axis Bank Limited', 'isin': 'INE238A01026', 'ndEndDate': '-', 'caBroadcastDate': None}]"
66911ade3a4b669eacb4a3e3,BAJAJ-AUTO,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,9554.35,9412.0,9499.95,9430.75,9433.0,9466.8,171581,1625822873.1,10038.8,4541.0,28544,INE917I01010,2024-07-12T12:00:30.530Z,2024-07-12T12:00:30.530Z,0,78122,45.53,9475.54,12-Jul-2024,
66911adf3a4b669eacb4b15f,BAJFINANCE,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,7045.0,6915.05,6996.95,7004.3,7008.0,6950.3,1068833,7470950108.15,8192.0,6187.8,106238,INE296A01024,2024-07-12T12:00:31.942Z,2024-07-12T12:00:31.942Z,0,503019,47.06,6989.82,12-Jul-2024,
66911af8b104d5da3a31264c,BAJAJFINSV,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1604.85,1585.15,1604.85,1597.25,1597.95,1587.85,1003699,1603115114.5,1741.0,1419.05,89811,INE918I01026,2024-07-12T12:00:56.677Z,2024-07-12T12:00:56.677Z,0,513327,51.14,1597.21,12-Jul-2024,
66911af8b104d5da3a312994,BPCL,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,310.95,303.75,309.7,304.55,305.25,306.6,10426157,3206809367.85,687.95,293.4,104791,INE029A01011,2024-07-12T12:00:56.985Z,2024-07-12T12:00:56.985Z,0,4372774,41.94,307.57,12-Jul-2024,
66911af9b104d5da3a312c93,BHARTIARTL,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1447.6,1421.45,1442.0,1433.25,1429.9,1437.95,6342135,9099868179.45,1536.25,847.05,231150,INE397D01024,2024-07-12T12:00:57.254Z,2024-07-12T12:00:57.254Z,0,3543784,55.88,1434.83,12-Jul-2024,
